地址,"经度,纬度",坐标系,解析结果,错误信息
河北省邢台市,"114.504844,37.070589",,河北省邢台市,
河北省保定市,"115.464806,38.873891",,河北省保定市,
河北省张家口市,"114.887543,40.824418",,河北省张家口市,
河北省承德市,"117.962410,40.954071",,河北省承德市,
河北省沧州市,"116.838834,38.304477",,河北省沧州市,
河北省廊坊市,"116.683752,39.538047",,河北省廊坊市,
河北省衡水市,"115.670177,37.738920",,河北省衡水市,
山西省太原市,"112.548879,37.870590",,山西省太原市,
山西省大同市,"113.300129,40.076762",,山西省大同市,
山西省阳泉市,"113.580519,37.856971",,山西省阳泉市,
山西省长治市,"113.116255,36.195386",,山西省长治市,
山西省晋城市,"112.851831,35.490701",,山西省晋城市,
山西省朔州市,"112.432825,39.331595",,山西省朔州市,
山西省晋中市,"112.752694,37.687024",,山西省晋中市,
山西省运城市,"111.007528,35.026412",,山西省运城市,
山西省忻州市,"112.734174,38.416663",,山西省忻州市,
山西省临汾市,"111.518976,36.088005",,山西省临汾市,
山西省吕梁市,"111.144319,37.518314",,山西省吕梁市,
内蒙古自治区呼和浩特市,"111.749180,40.842585",,内蒙古自治区呼和浩特市,
内蒙古自治区包头市,"109.840347,40.657449",,内蒙古自治区包头市,
内蒙古自治区乌海市,"106.794249,39.655388",,内蒙古自治区乌海市,
内蒙古自治区赤峰市,"118.886856,42.257817",,内蒙古自治区赤峰市,
内蒙古自治区通辽市,"122.243444,43.652890",,内蒙古自治区通辽市,
内蒙古自治区鄂尔多斯市,"109.781327,39.608266",,内蒙古鄂尔多斯,
内蒙古自治区呼伦贝尔市,"119.765744,49.211574",,内蒙古自治区呼伦贝尔市,
内蒙古自治区巴彦淖尔市,"107.387657,40.743213",,内蒙古自治区巴彦淖尔市,
内蒙古自治区乌兰察布市,"113.132585,40.994785",,内蒙古自治区乌兰察布市,
内蒙古自治区兴安盟,"122.067042,46.077561",,内蒙古自治区兴安盟,
内蒙古自治区锡林郭勒盟,"116.048222,43.933454",,内蒙古自治区锡林郭勒盟,
内蒙古自治区阿拉善盟,"105.728969,38.851892",,内蒙古自治区阿拉善盟,
辽宁省沈阳市,"123.431474,41.805698",,辽宁省沈阳市,
辽宁省大连市,"121.614682,38.914003",,辽宁省大连市,
辽宁省鞍山市,"122.994329,41.108647",,辽宁省鞍山市,
辽宁省抚顺市,"123.957208,41.880872",,辽宁省抚顺市,
辽宁省本溪市,"123.766485,41.294175",,辽宁省本溪市,
辽宁省丹东市,"124.354706,40.000499",,辽宁省丹东市,
辽宁省锦州市,"121.127003,41.095119",,辽宁省锦州市,
辽宁省营口市,"122.235417,40.667012",,辽宁省营口市,
辽宁省阜新市,"121.670323,42.021619",,辽宁省阜新市,
辽宁省辽阳市,"123.236944,41.267244",,辽宁省辽阳市,
辽宁省盘锦市,"122.070714,41.119997",,辽宁省盘锦市,
辽宁省铁岭市,"123.726166,42.223769",,辽宁省铁岭市,
辽宁省朝阳市,"120.450372,41.573734",,辽宁省朝阳市,
辽宁省葫芦岛市,"120.836932,40.711052",,辽宁省葫芦岛市,
吉林省长春市,"125.323544,43.817071",,吉林省长春市,
吉林省吉林市,"126.549576,43.837883",,吉林市,
吉林省四平市,"124.350398,43.166419",,吉林省四平市,
吉林省辽源市,"125.143532,42.887918",,吉林省辽源市,
吉林省通化市,"125.939697,41.728401",,吉林省通化市,
吉林省白山市,"126.423587,41.939994",,吉林省白山市,
吉林省松原市,"124.825117,45.141789",,吉林省松原市,
吉林省白城市,"122.839024,45.619641",,吉林省白城市,
吉林省延边朝鲜族自治州,"129.508946,42.891253",,吉林省延边朝鲜族自治州,
黑龙江省哈尔滨市,"126.534967,45.803775",,黑龙江省哈尔滨市,
黑龙江省齐齐哈尔市,"123.918186,47.354348",,黑龙江省齐齐哈尔市,
黑龙江省鸡西市,"130.969333,45.295075",,黑龙江省鸡西市,
黑龙江省鹤岗市,"130.297964,47.349916",,黑龙江省鹤岗市,
黑龙江省双鸭山市,"131.159133,46.646508",,黑龙江省双鸭山市,
黑龙江省大庆市,"125.103784,46.589309",,黑龙江省大庆市,
黑龙江省伊春市,"128.841147,47.727536",,黑龙江省伊春市,
黑龙江省佳木斯市,"130.318917,46.799922",,黑龙江省佳木斯市,
黑龙江省七台河市,"131.003138,45.771726",,黑龙江省七台河市,
黑龙江省牡丹江市,"129.633168,44.551653",,黑龙江省牡丹江市,
黑龙江省黑河市,"127.528560,50.245329",,黑龙江省黑河市,
黑龙江省绥化市,"126.968887,46.653845",,黑龙江省绥化市,
黑龙江省大兴安岭地区,"124.711080,52.335206",,黑龙江省大兴安岭地区,
上海市黄浦区,"121.469240,31.229860",,上海市黄浦区,
上海市徐汇区,"121.437866,31.199190",,上海市徐汇区,
上海市长宁区,"121.424624,31.220367",,上海市长宁区,
上海市静安区,"121.459384,31.247105",,上海市静安区,
上海市普陀区,"121.395555,31.249840",,上海市普陀区,
上海市虹口区,"121.505133,31.264600",,上海市虹口区,
上海市杨浦区,"121.526077,31.259541",,上海市杨浦区,
上海市闵行区,"121.381709,31.112813",,上海市闵行区,
上海市宝山区,"121.489612,31.405457",,上海市宝山区,
上海市嘉定区,"121.265300,31.375602",,上海市嘉定区,
上海市浦东新区,"121.544379,31.221517",,上海市浦东新区,
上海市金山区,"121.341970,30.741991",,上海市金山区,
上海市松江区,"121.227747,31.032243",,上海市松江区,
上海市青浦区,"121.124178,31.150681",,上海市青浦区,
上海市奉贤区,"121.474042,30.917795",,上海市奉贤区,
上海市崇明区,"121.397417,31.623587",,上海市崇明区,
江苏省南京市,"118.796877,32.060255",,江苏省南京市,
江苏省无锡市,"120.311910,31.491169",,江苏省无锡市,
江苏省徐州市,"117.284124,34.205768",,江苏省徐州市,
江苏省常州市,"119.973987,31.810689",,江苏省常州市,
江苏省苏州市,"120.585315,31.298886",,江苏省苏州市,
江苏省南通市,"120.894291,31.980171",,江苏省南通市,
江苏省连云港市,"119.221611,34.596653",,江苏省连云港市,
江苏省淮安市,"119.015285,33.610353",,江苏省淮安市,
江苏省盐城市,"120.163561,33.347382",,江苏省盐城市,
江苏省扬州市,"119.412966,32.394210",,江苏省扬州市,
江苏省镇江市,"119.425836,32.187849",,江苏省镇江市,
江苏省泰州市,"119.923116,32.455778",,江苏省泰州市,
江苏省宿迁市,"118.275198,33.963232",,江苏省宿迁市,
浙江省杭州市,"120.209947,30.245853",,浙江省杭州市,
浙江省宁波市,"121.550357,29.874556",,浙江省宁波市,
浙江省温州市,"120.699366,27.994267",,浙江省温州市,
浙江省嘉兴市,"120.755486,30.746129",,浙江省嘉兴市,
浙江省湖州市,"120.086823,30.894348",,浙江省湖州市,
浙江省绍兴市,"120.580232,30.029752",,浙江省绍兴市,
浙江省金华市,"119.647444,29.079059",,浙江省金华市,
浙江省衢州市,"118.859457,28.970079",,浙江省衢州市,
浙江省舟山市,"122.207215,29.985295",,浙江省舟山市,
浙江省台州市,"121.420757,28.656386",,浙江省台州市,
浙江省丽水市,"119.922796,28.467630",,浙江省丽水市,
安徽省合肥市,"117.227239,31.820586",,安徽省合肥市,
安徽省芜湖市,"118.432941,31.352859",,安徽省芜湖市,
安徽省蚌埠市,"117.389719,32.916287",,安徽省蚌埠市,
安徽省淮南市,"116.999932,32.625478",,安徽省淮南市,
安徽省马鞍山市,"118.506759,31.670452",,安徽省马鞍山市,
安徽省淮北市,"116.798265,33.955844",,安徽省淮北市,
安徽省铜陵市,"117.812079,30.945429",,安徽省铜陵市,
安徽省安庆市,"117.063754,30.543494",,安徽省安庆市,
安徽省黄山市,"118.337481,29.714655",,安徽省黄山市,
安徽省滁州市,"118.317106,32.301556",,安徽省滁州市,
安徽省阜阳市,"115.814204,32.890124",,安徽省阜阳市,
安徽省宿州市,"116.964356,33.646373",,安徽省宿州市,
安徽省六安市,"116.521854,31.733699",,安徽省六安市,
安徽省亳州市,"115.778676,33.844582",,安徽省亳州市,
安徽省池州市,"117.491568,30.664800",,安徽省池州市,
安徽省宣城市,"118.758816,30.940718",,安徽省宣城市,
福建省福州市,"119.296494,26.074507",,福建省福州市,
福建省厦门市,"118.089425,24.479833",,福建省厦门市,
福建省莆田市,"119.007777,25.454084",,福建省莆田市,
福建省三明市,"117.638678,26.263406",,福建省三明市,
福建省泉州市,"118.675675,24.874132",,福建省泉州市,
福建省漳州市,"117.647481,24.512948",,福建省漳州市,
福建省南平市,"118.177708,26.641768",,福建省南平市,
福建省龙岩市,"117.017536,25.075123",,福建省龙岩市,
福建省宁德市,"119.547932,26.665617",,福建省宁德市,
江西省南昌市,"115.858197,28.682892",,江西省南昌市,
江西省景德镇市,"117.178419,29.268835",,江西省景德镇市,
江西省萍乡市,"113.854556,27.622768",,江西省萍乡市,
江西省九江市,"116.001930,29.705077",,江西省九江市,
江西省新余市,"114.917346,27.817808",,江西省新余市,
江西省鹰潭市,"117.069202,28.260189",,江西省鹰潭市,
江西省赣州市,"114.935029,25.831829",,江西省赣州市,
江西省吉安市,,,,ENGINE_RESPONSE_DATA_ERROR
江西省宜春市,"114.416778,27.815619",,江西省宜春市,
江西省抚州市,"116.358181,27.949217",,江西省抚州市,
江西省上饶市,"117.943433,28.454862",,江西省上饶市,
山东省济南市,"117.119999,36.651216",,山东省济南市,
山东省青岛市,"120.382639,36.067082",,山东省青岛市,
山东省淄博市,"118.054927,36.813487",,山东省淄博市,
山东省枣庄市,"117.323725,34.810487",,山东省枣庄市,
山东省东营市,"118.674767,37.434751",,山东省东营市,
山东省烟台市,"121.447935,37.463822",,山东省烟台市,
山东省潍坊市,"119.161755,36.706774",,山东省潍坊市,
山东省济宁市,"116.587098,35.414921",,山东省济宁市,
山东省泰安市,"117.087614,36.200252",,山东省泰安市,
山东省威海市,"122.120419,37.513068",,山东省威海市,
山东省日照市,"119.526888,35.416377",,山东省日照市,
山东省临沂市,"118.356448,35.104672",,山东省临沂市,
山东省德州市,"116.357464,37.434092",,山东省德州市,
山东省聊城市,"115.985371,36.456703",,山东省聊城市,
山东省滨州市,"117.970703,37.381990",,山东省滨州市,
山东省菏泽市,"115.480656,35.233750",,山东省菏泽市,
河南省郑州市,"113.625368,34.746599",,河南省郑州市,
河南省开封市,"114.307581,34.797239",,河南省开封市,
河南省洛阳市,"112.454040,34.619682",,河南省洛阳市,
河南省平顶山市,"113.192661,33.766169",,河南省平顶山市,
河南省安阳市,"114.392392,36.097577",,河南省安阳市,
河南省鹤壁市,"114.297272,35.747225",,河南省鹤壁市,
河南省新乡市,"113.926800,35.303004",,河南省新乡市,
河南省焦作市,"113.241823,35.215892",,河南省焦作市,
河南省濮阳市,"115.029215,35.761829",,河南省濮阳市,
河南省许昌市,"113.852640,34.035506",,河南省许昌市,
河南省漯河市,"114.016539,33.581412",,河南省漯河市,
河南省三门峡市,"111.200135,34.772493",,河南省三门峡市,
河南省南阳市,"112.528321,32.990833",,河南省南阳市,
河南省商丘市,"115.656370,34.414172",,河南省商丘市,
河南省信阳市,"114.091023,32.146983",,河南省信阳市,
河南省周口市,"114.696951,33.626149",,河南省周口市,
河南省驻马店市,"114.022298,33.011529",,河南省驻马店市,
河南省济源市,"112.602344,35.06903",,济源市,
湖北省武汉市,"114.305392,30.593098",,湖北省武汉市,
湖北省黄石市,"115.038520,30.199652",,湖北省黄石市,
湖北省十堰市,"110.797990,32.629397",,湖北省十堰市,
湖北省宜昌市,"111.286471,30.691967",,湖北省宜昌市,
湖北省襄阳市,"112.122414,32.008986",,湖北省襄阳市,
湖北省鄂州市,"114.894843,30.391940",,湖北省鄂州市,
湖北省荆门市,"112.199265,31.035423",,湖北省荆门市,
湖北省孝感市,"113.916902,30.924568",,湖北省孝感市,
湖北省荆州市,"112.239741,30.335165",,湖北省荆州市,
湖北省黄冈市,"114.872316,30.453905",,湖北省黄冈市,
湖北省咸宁市,"114.322492,29.841443",,湖北省咸宁市,
湖北省随州市,"113.382458,31.690215",,湖北省随州市,
湖北省恩施土家族苗族自治州,"109.488172,30.272156",,湖北省恩施土家族苗族自治州,
湖北省仙桃市,"113.453974,30.364953",,湖北省仙桃市,
湖北省潜江市,"112.900287,30.401947",,潜江市,
湖北省天门市,"113.166558,30.66372",,天门市,
湖北省神农架林区,"110.675757,31.744897",,神农架林区,
湖南省长沙市,"112.938814,28.228209",,湖南省长沙市,
湖南省株洲市,"113.134002,27.827550",,湖南省株洲市,
湖南省湘潭市,"112.944049,27.829738",,湖南省湘潭市,
湖南省衡阳市,"112.571997,26.893230",,湖南省衡阳市,
湖南省邵阳市,"111.467791,27.238892",,湖南省邵阳市,
湖南省岳阳市,"113.128958,29.357104",,湖南省岳阳市,
湖南省常德市,"111.698497,29.031673",,湖南省常德市,
湖南省张家界市,"110.479191,29.117096",,湖南省张家界市,
湖南省益阳市,"112.355180,28.553860",,湖南省益阳市,
湖南省郴州市,"113.014717,25.770509",,湖南省郴州市,
湖南省永州市,"111.613445,26.420394",,湖南省永州市,
湖南省怀化市,"109.998488,27.554978",,湖南省怀化市,
湖南省娄底市,"111.993497,27.700062",,湖南省娄底市,
湖南省湘西土家族苗族自治州,"109.739172,28.311947",,湖南省湘西土家族苗族自治州,
广东省广州市,"113.264434,23.129162",,广东省广州市,
广东省韶关市,"113.597522,24.810403",,广东省韶关市,
广东省深圳市,"114.057868,22.543099",,广东省深圳市,
广东省珠海市,"113.576726,22.270715",,广东省珠海市,
广东省汕头市,"116.681972,23.354091",,广东省汕头市,
广东省佛山市,"113.121416,23.021548",,广东省佛山市,
广东省江门市,"113.081901,22.578738",,广东省江门市,
广东省湛江市,"110.359377,21.270707",,广东省湛江市,
广东省茂名市,"110.925456,21.662999",,广东省茂名市,
广东省肇庆市,"112.465091,23.047191",,广东省肇庆市,
广东省惠州市,"114.416196,23.111847",,广东省惠州市,
广东省梅州市,"116.122238,24.288615",,广东省梅州市,
广东省汕尾市,"115.375278,22.786211",,广东省汕尾市,
广东省河源市,"114.700447,23.743538",,广东省河源市,
广东省阳江市,"111.982232,21.857958",,广东省阳江市,
广东省清远市,"113.056031,23.681763",,广东省清远市,
广东省东莞市,"113.751765,23.020536",,广东省东莞市,
广东省中山市,"113.392782,22.517645",,广东省中山市,
广东省潮州市,"116.622603,23.656950",,广东省潮州市,
广东省揭阳市,"116.372831,23.549993",,广东省揭阳市,
广东省云浮市,"112.044491,22.915094",,广东省云浮市,
广西壮族自治区南宁市,"108.366543,22.817002",,广西壮族自治区南宁市,
广西壮族自治区柳州市,"109.415953,24.325502",,广西壮族自治区柳州市,
广西壮族自治区桂林市,"110.290194,25.273566",,广西壮族自治区桂林市,
广西壮族自治区梧州市,"111.279115,23.476962",,广西壮族自治区梧州市,
广西壮族自治区北海市,"109.119927,21.481254",,广西壮族自治区北海市,
广西壮族自治区防城港市,"108.353846,21.686860",,广西壮族自治区防城港市,
广西壮族自治区钦州市,"108.654146,21.979933",,广西壮族自治区钦州市,
广西壮族自治区贵港市,"109.598926,23.111530",,广西壮族自治区贵港市,
广西壮族自治区玉林市,"110.164756,22.636379",,广西壮族自治区玉林市,
广西壮族自治区百色市,"106.618201,23.902333",,广西壮族自治区百色市,
广西壮族自治区贺州市,"111.566694,24.403582",,广西壮族自治区贺州市,
广西壮族自治区河池市,"108.085261,24.692931",,广西壮族自治区河池市,
广西壮族自治区来宾市,"109.221465,23.750306",,广西壮族自治区来宾市,
广西壮族自治区崇左市,"107.364711,22.376532",,广西壮族自治区崇左市,
海南省海口市,"110.198293,20.044001",,海南省海口市,
海南省三亚市,"109.511909,18.252847",,海南省三亚市,
海南省三沙市,"112.338695,16.831839",,海南省三沙市,
海南省儋州市,"109.580811,19.521134",,海南省儋州市,
海南省五指山市,"109.516925,18.775146",,五指山市,
海南省琼海市,"110.474581,19.25914",,琼海市,
海南省文昌市,"110.797717,19.543422",,文昌市,
海南省万宁市,"110.391073,18.795143",,万宁市,
海南省东方市,"108.651815,19.095351",,东方市,
海南省定安县,"110.358891,19.681434",,海南省定安县,
海南省屯昌县,"110.103415,19.351766",,海南省屯昌县,
海南省澄迈县,"110.006755,19.738521",,海南省澄迈县,
海南省临高县,"109.690508,19.912026",,海南省临高县,
海南省白沙黎族自治县,"109.451484,19.224823",,海南省白沙黎族自治县,
海南省昌江黎族自治县,"109.055724,19.298062",,海南省昌江黎族自治县,
海南省乐东黎族自治县,"109.173055,18.750260",,海南省乐东黎族自治县,
海南省陵水黎族自治县,"110.037504,18.506048",,海南省陵水黎族自治县,
海南省保亭黎族苗族自治县,"109.702392,18.638189",,海南省保亭黎族苗族自治县,
海南省琼中黎族苗族自治县,"109.838389,19.033369",,海南省琼中黎族苗族自治县,
重庆市万州区,"108.408661,30.807667",,重庆市万州区,
重庆市涪陵区,"107.389298,29.703113",,重庆市涪陵区,
重庆市渝中区,"106.568892,29.552750",,重庆市渝中区,
重庆市大渡口区,"106.482347,29.484527",,重庆市大渡口区,
重庆市江北区,"106.574271,29.606703",,重庆市江北区,
重庆市沙坪坝区,"106.456878,29.541145",,重庆市沙坪坝区,
重庆市九龙坡区,"106.531920,29.514190",,重庆市九龙坡区,
重庆市南岸区,"106.644428,29.500297",,重庆市南岸区,
重庆市北碚区,"106.445122,29.822616",,重庆市北碚区,
重庆市綦江区,"106.651362,29.028067",,重庆市綦江区,
重庆市大足区,"105.721733,29.707032",,重庆市大足区,
重庆市渝北区,"106.631187,29.718143",,重庆市渝北区,
重庆市巴南区,"106.533840,29.375528",,重庆市巴南区,
重庆市黔江区,"108.770678,29.533610",,重庆市黔江区,
重庆市长寿区,"107.081283,29.857996",,重庆市长寿区,
重庆市江津区,"106.259281,29.290069",,重庆市江津区,
重庆市合川区,"106.276130,29.972084",,重庆市合川区,
重庆市永川区,"105.927376,29.356117",,重庆市永川区,
重庆市南川区,"107.099266,29.157891",,重庆市南川区,
重庆市璧山区,"106.227305,29.592024",,重庆市璧山区,
重庆市铜梁区,"106.056404,29.844811",,重庆市铜梁区,
重庆市潼南区,"105.840556,30.191013",,重庆市潼南区,
重庆市荣昌区,"105.594623,29.405002",,重庆市荣昌区,
重庆市开州区,"108.120805,31.258787",,重庆市重庆市开州区,
重庆市梁平区,"107.801867,30.672663",,重庆市重庆市梁平区,
重庆市武隆区,"107.760631,29.325760",,重庆市重庆市武隆区,
重庆市城口县,"108.664214,31.947633",,重庆市城口县,
重庆市丰都县,"107.730895,29.863500",,重庆市丰都县,
重庆市垫江县,"107.333390,30.327717",,重庆市垫江县,
重庆市忠县,"108.039002,30.299560",,重庆市忠县,
重庆市云阳县,"108.697324,30.930613",,重庆市云阳县,
重庆市奉节县,"109.463987,31.018498",,重庆市奉节县,
重庆市巫山县,"109.879153,31.074834",,重庆市巫山县,
重庆市巫溪县,"109.570062,31.398604",,重庆市巫溪县,
重庆市石柱土家族自治县,"108.114069,29.999285",,重庆市石柱土家族自治县,
重庆市秀山土家族苗族自治县,"109.007094,28.447997",,重庆市秀山土家族苗族自治县,
重庆市酉阳土家族苗族自治县,"108.767747,28.841244",,重庆市酉阳土家族苗族自治县,
重庆市彭水苗族土家族自治县,"108.165538,29.293902",,重庆市彭水苗族土家族自治县,
四川省成都市,"104.066541,30.572269",,四川省成都市,
四川省自贡市,"104.778442,29.339030",,四川省自贡市,
四川省攀枝花市,"101.718637,26.582347",,四川省攀枝花市,
四川省泸州市,"105.442258,28.871810",,四川省泸州市,
四川省德阳市,"104.397894,31.126855",,四川省德阳市,
四川省绵阳市,"104.679114,31.467450",,四川省绵阳市,
四川省广元市,"105.843357,32.435435",,四川省广元市,
四川省遂宁市,"105.592898,30.532847",,四川省遂宁市,
四川省内江市,"105.058433,29.580228",,四川省内江市,
四川省乐山市,"103.765568,29.552106",,四川省乐山市,
四川省南充市,"106.110698,30.837793",,四川省南充市,
四川省眉山市,"103.848538,30.075439",,四川省眉山市,
四川省宜宾市,"104.643215,28.751768",,四川省宜宾市,
四川省广安市,"106.633212,30.455961",,四川省广安市,
四川省达州市,"107.468023,31.209571",,四川省达州市,
四川省雅安市,"103.013261,29.980537",,四川省雅安市,
四川省巴中市,"106.747477,31.867903",,四川省巴中市,
四川省资阳市,"104.627636,30.128901",,四川省资阳市,
四川省阿坝藏族羌族自治州,"102.224653,31.899413",,四川省阿坝藏族羌族自治州,
四川省甘孜藏族自治州,"101.962310,30.049520",,四川省甘孜藏族自治州,
四川省凉山彝族自治州,"102.267335,27.881610",,四川省凉山彝族自治州,
贵州省贵阳市,"106.630153,26.647661",,贵州省贵阳市,
贵州省六盘水市,"104.830359,26.592666",,贵州省六盘水市,
贵州省遵义市,"106.927389,27.725654",,贵州省遵义市,
贵州省安顺市,"105.947593,26.253072",,贵州省安顺市,
贵州省毕节市,"105.283992,27.302589",,贵州省毕节市,
贵州省铜仁市,"109.189598,27.731514",,贵州省铜仁市,
贵州省黔西南布依族苗族自治州,"104.906396,25.087825",,贵州省黔西南布依族苗族自治州,
贵州省黔东南苗族侗族自治州,"107.982859,26.583442",,贵州省黔东南苗族侗族自治州,
贵州省黔南布依族苗族自治州,"107.522097,26.254092",,贵州省黔南布依族苗族自治州,
云南省昆明市,"102.832891,24.880095",,云南省昆明市,
云南省曲靖市,"103.796167,25.489999",,云南省曲靖市,
云南省玉溪市,"102.546543,24.352036",,云南省玉溪市,
云南省保山市,"99.161761,25.112046",,云南省保山市,
云南省昭通市,"103.717465,27.338257",,云南省昭通市,
云南省丽江市,"100.227750,26.855047",,云南省丽江市,
云南省普洱市,"100.966512,22.825065",,云南省普洱市,
云南省临沧市,"100.079583,23.877573",,云南省临沧市,
云南省楚雄彝族自治州,"101.528069,25.045532",,楚雄彝族自治州,
云南省红河哈尼族彝族自治州,"103.374799,23.363130",,云南省红河哈尼族彝族自治州,
云南省文山壮族苗族自治州,"104.216248,23.400733",,文山壮族苗族自治州,
云南省西双版纳傣族自治州,"100.797777,22.007351",,云南省西双版纳傣族自治州,
云南省大理白族自治州,"100.267638,25.606486",,大理白族自治州,
云南省德宏傣族景颇族自治州,"98.584895,24.433353",,云南省德宏傣族景颇族自治州,
云南省怒江傈僳族自治州,"98.853097,25.852547",,云南省怒江傈僳族自治州,
云南省迪庆藏族自治州,"99.702234,27.818882",,云南省迪庆藏族自治州,
西藏自治区拉萨市,"91.140856,29.645554",,西藏自治区拉萨市,
西藏自治区日喀则市,"88.880583,29.266869",,西藏自治区日喀则市,
西藏自治区昌都市,"97.172020,31.140969",,西藏自治区昌都市,
西藏自治区林芝市,"94.361490,29.649128",,西藏自治区林芝市,
西藏自治区山南市,"91.773134,29.237137",,西藏自治区山南市,
西藏自治区那曲市,"92.051510,31.477905",,西藏自治区那曲市,
西藏自治区阿里地区,"80.105804,32.501111",,西藏自治区阿里地区,
陕西省西安市,"108.940174,34.341568",,陕西省西安市,
陕西省铜川市,"108.945233,34.896756",,陕西省铜川市,
陕西省宝鸡市,"107.237974,34.361979",,陕西省宝鸡市,
陕西省咸阳市,"108.708991,34.329605",,陕西省咸阳市,
陕西省渭南市,"109.509786,34.499995",,陕西省渭南市,
陕西省延安市,"109.489727,36.585455",,陕西省延安市,
陕西省汉中市,"107.023323,33.067480",,陕西省汉中市,
陕西省榆林市,"109.734589,38.285390",,陕西省榆林市,
陕西省安康市,"109.029022,32.684714",,陕西省安康市,
陕西省商洛市,"109.940477,33.870422",,陕西省商洛市,
甘肃省兰州市,"103.834303,36.061089",,甘肃省兰州市,
甘肃省嘉峪关市,"98.289152,39.773130",,甘肃省嘉峪关市,
甘肃省金昌市,"102.188043,38.520089",,甘肃省金昌市,
甘肃省白银市,"104.138559,36.544756",,甘肃省白银市,
甘肃省天水市,"105.724947,34.580863",,甘肃省天水市,
甘肃省武威市,"102.638011,37.928264",,甘肃省武威市,
甘肃省张掖市,"100.449818,38.925875",,甘肃省张掖市,
甘肃省平凉市,"106.665240,35.543051",,甘肃省平凉市,
甘肃省酒泉市,"98.494483,39.732410",,甘肃省酒泉市,
甘肃省庆阳市,"107.643631,35.709077",,甘肃省庆阳市,
甘肃省定西市,"104.626282,35.580662",,甘肃省定西市,
甘肃省陇南市,"104.921841,33.400684",,甘肃省陇南市,
甘肃省临夏回族自治州,"103.210538,35.601182",,甘肃省临夏回族自治州,
甘肃省甘南藏族自治州,"102.911027,34.983385",,甘肃省甘南藏族自治州,
青海省西宁市,"101.778228,36.617144",,青海省西宁市,
青海省海东市,"102.104287,36.502039",,青海省海东市,
青海省海北藏族自治州,"100.900997,36.954413",,青海省海北藏族自治州,
青海省黄南藏族自治州,"102.015248,35.519548",,青海省黄南藏族自治州,
青海省海南藏族自治州,"100.620373,36.286437",,青海省海南藏族自治州,
青海省果洛藏族自治州,"100.244808,34.471431",,青海省果洛藏族自治州,
青海省玉树藏族自治州,"97.091934,33.011674",,青海省玉树藏族自治州,
青海省海西蒙古族藏族自治州,"97.369751,37.377139",,青海省海西蒙古族藏族自治州,
宁夏回族自治区银川市,"106.230909,38.487193",,宁夏回族自治区银川市,
宁夏回族自治区石嘴山市,"106.383303,38.983236",,宁夏回族自治区石嘴山市,
宁夏回族自治区吴忠市,"106.198393,37.997460",,宁夏回族自治区吴忠市,
宁夏回族自治区固原市,"106.242610,36.015855",,宁夏回族自治区固原市,
宁夏回族自治区中卫市,"105.196902,37.499972",,宁夏回族自治区中卫市,
新疆维吾尔自治区乌鲁木齐市,"87.616848,43.825592",,新疆维吾尔自治区乌鲁木齐市,
新疆维吾尔自治区克拉玛依市,"84.889207,45.579888",,新疆维吾尔自治区克拉玛依市,
新疆维吾尔自治区吐鲁番市,"89.189655,42.951384",,新疆维吾尔自治区吐鲁番市,
新疆维吾尔自治区哈密市,"93.514916,42.818501",,新疆维吾尔自治区哈密市,
